ward,population
E05000957,16462
E05000958,13785
E05000959,14687
E05000960,13932
E05000961,14110
E05000962,13170
E05000963,12979
E05000964,15131
E05000965,15510
E05000966,13774
E05000967,14644
E05000968,13689
E05000969,12911
E05000970,14575
E05000971,15333
E05000972,14907
E05000973,16376
E05000974,14478
E05000975,12541
E05011525,12699
E05011526,15644
E05011527,11845
E05011528,8487
E05011529,10858
E05011530,11768
E05011531,12053
E05011532,11993
E05011533,9313
E05011534,9904
E05011535,12857
E05011536,13728
E05011537,17026
E05011538,14855
E05011539,16067
E05011540,8426
E05011541,16704
E05011542,15061
E05011543,13399
E05011544,11801
E05011545,12525
E05001687,14437
E05001688,10847
E05001689,13270
E05001690,14287
E05001691,7902
E05001692,9612
E05001693,17285
E05001694,15582
E05001695,14558
E05001696,11223
E05001697,10729
E05001698,15486
E05001699,5372
E05001700,15838
E05001701,13768
E05001702,16359
E05001703,10440
E05001704,18618
E05001705,15957
E05001706,10010
E05001707,14749
E05001708,10746
E05001709,14233
E05001710,10303
E05001711,13405
E05001712,17195
E05001713,11232
E05001714,10669
E05001715,9280
E05001716,9421
E05001717,11468
E05001718,11909
E05001719,11683
E05001720,11798
E05001721,11337
E05001722,11968
E05001723,12427
E05001724,6811
E05001725,7543
E05001726,7791
E05001727,11629
E05001728,13613
E05001729,7493
E05001730,8249
E05001731,7071
E05001732,11921
E05001733,10684
E05001734,11621
E05001735,6439
E05001736,11841
E05001737,3718
E05001738,11113
E05001739,14123
E05001740,11431
E05001741,8276
E05001742,10760
E05001743,12672
E05001744,8651
E05010311,9111
E05010312,4136
E05010313,9417
E05010314,4148
E05010315,11492
E05010316,9555
E05010317,4175
E05010318,14553
E05010319,11774
E05010320,13434
E05010321,4076
E05010322,11960
E05010323,14860
E05010324,12419
E05010325,12405
E05010326,8401
E05010327,12334
E05010328,8113
E05010329,8327
E05010330,13976
E05010331,4157
E05014250,6347
E05014256,7422
E05014277,8124
E05014294,5245
E05014316,5627
E05014319,7289
E05014320,5650
E05014321,6318
E05014335,4905
E05014251,6115
E05014255,6234
E05014270,6791
E05014276,5488
E05014282,6607
E05014283,6809
E05014285,5940
E05014295,6348
E05014298,6761
E05014299,6671
E05014310,5883
E05014322,7789
E05014325,6177
E05014327,7074
E05014257,7903
E05014258,7363
E05014259,7552
E05014267,7153
E05014273,8220
E05014278,8394
E05014279,8289
E05014286,9898
E05014288,8081
E05014289,7868
E05014292,7537
E05014302,7921
E05014304,6478
E05014305,5548
E05014308,8104
E05014309,8486
E05014323,6354
E05014324,8078
E05014331,8347
E05014332,6547
E05014333,8548
E05014263,6608
E05014280,9897
